experiment_id,id,divided_once_experiment_finished,filamented_id,over_ds_red_id,divided_id,survived,antibiotic_start_time,antibiotic_end_time,filamentation_threshold,time_first,time_sos,time_last,length_first,length_sos,length_last,gfp_first,gfp_sos,gfp_last,ds_red_first,ds_red_sos,ds_red_last,n_divisions,time_since_last_division_to_experiment_start,lived_time,dead_or_missing_at_time
Plasmid,xy11_71_20.099-28.049,FALSE,FALSE,FALSE,FALSE,FALSE,60,140,47.16756886212937,0,NA,80,19.69775719250538,NA,16.353600417687836,1.036242028535511,NA,1.0815487384722398,-4.112335104512702e-4,NA,0.18705861269564789,0,NA,80,90
Plasmid,xy11_72_20.093-28.052,TRUE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,22.52300795294673,NA,29.96852034772058,1.268584130775146,NA,1.3838183185794812,-0.0018612638883844334,NA,0.20637891874807343,1,NA,80,90
Plasmid,xy11_73_20.114-28.061,FALSE,FALSE,FALSE,FALSE,FALSE,60,140,47.16756886212937,0,NA,80,18.454378753809056,NA,24.490799357151655,1.2869241670390295,NA,1.516549365663766,-0.002045220802106257,NA,0.19723448314991532,0,NA,80,90
Plasmid,xy11_74_20.116-28.063,TRUE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,21.75835589923999,NA,23.05697116131606,1.4648719851817564,NA,1.420993054937823,-4.112335104512702e-4,NA,0.3281801765858385,1,NA,80,90
Plasmid,xy11_75_20.126-28.068,FALSE,FALSE,FALSE,FALSE,FALSE,60,140,47.16756886212937,0,NA,80,18.151203549361195,NA,41.07563102210528,1.2837163470468176,NA,1.3348953162449901,-0.0027404747000177843,NA,0.16720234923555105,0,NA,80,90
Plasmid,xy11_76_20.115-28.077,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,26.97018743883169,NA,26.45032615620199,1.4425596484602277,NA,1.6015678378171625,-0.001953238115227088,NA,0.18622921472328996,1,30,80,90
Plasmid,xy11_76_23.131-27.078,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,30,NA,70,33.48552859065229,NA,21.856696569635243,1.5454647150328145,NA,1.5801961118643781,-0.0011768326291282038,NA,0.13749450626328105,1,30,40,80
Plasmid,xy11_77_20.131-28.083,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,20.975217498951405,NA,26.87785530097253,1.5152190197557807,NA,1.704903861514871,-0.0016875578700560063,NA,0.2552824805741675,1,40,80,90
Plasmid,xy11_77_22.148-27.089,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,20,NA,70,23.01993379559567,NA,23.438364915035773,1.7105775057534325,NA,1.5667090275746933,0.004860560418647428,NA,0.24380664515015174,1,40,50,80
Plasmid,xy11_78_20.140-28.089,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,15.678926087849954,NA,12.108980903906852,1.2321851172420237,NA,1.5019342979422403,-0.006521701185514027,NA,0.18856331305393986,1,0,80,90
Plasmid,xy11_79_20.150-28.095,TRUE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,26.331532195695463,NA,25.52340078280742,1.0107106294619843,NA,1.0069781660131025,-0.003917372839738974,NA,0.2192650894185884,3,30,80,90
Plasmid,xy11_79_22.174-28.115,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,20,NA,80,14.281080934289314,NA,30.150988281229196,1.1190532507176312,NA,0.9927078639916747,0.001973675434093445,NA,0.24995830405735,2,20,60,90
Plasmid,xy11_79_23.160-27.111,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,30,NA,70,16.460662006264997,NA,26.193990367245007,1.0771492283427344,NA,1.138903510646072,-0.0015956080745794837,NA,0.1560254611303471,1,30,40,80
Plasmid,xy11_8_20.056-44.027,FALSE,FALSE,FALSE,TRUE,TRUE,60,140,47.16756886212937,0,NA,150,16.47907277305386,NA,24.34882469456613,1.0137423191508854,NA,0.7697906067057925,-7.07195670277755e-4,NA,0.023783495076605807,1,10,150,NA
Plasmid,xy11_8_25.058-29.015,TRUE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,50,NA,90,9.804386533756375,NA,27.43511581358739,0.9578153266698483,NA,0.8594859005300775,0.003753551109295662,NA,0.19528980525289732,2,10,40,100
Plasmid,xy11_80_20.144-28.100,FALSE,FALSE,FALSE,FALSE,FALSE,60,140,47.16756886212937,0,NA,80,27.086899788432852,NA,33.93299175662595,1.111820665922107,NA,1.281048160324324,-0.002750702629424733,NA,0.21008120025019963,0,NA,80,90
Plasmid,xy11_81_20.148-28.103,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,20.31281350162672,NA,24.785569756685913,0.738469392342585,NA,0.9146409176391572,-0.002576842054940152,NA,0.20497559621449948,1,50,80,90
Plasmid,xy11_81_21.157-27.122,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,10,NA,70,11.07243149217854,NA,22.557408772824967,0.7984960986921732,NA,0.9385796490763635,0.004413841762745418,NA,0.1883859099810223,1,50,60,80
Plasmid,xy11_82_20.167-28.118,FALSE,FALSE,TRUE,FALSE,FALSE,60,140,47.16756886212937,0,NA,80,21.735472409521694,NA,23.246918598571277,1.2700269002809887,NA,1.3450396722250337,0.0032555051669687254,NA,0.42098078705244407,0,NA,80,90
Plasmid,xy11_83_20.165-28.124,FALSE,TRUE,TRUE,FALSE,FALSE,60,140,47.16756886212937,0,20,70,42.697189776062,49.10566791779568,64.87856824239542,1.7375179472534446,2.01858818425795,2.173890142338837,-9.495700052760599e-5,0.00438337640439431,0.35287941873942147,0,NA,70,80
Plasmid,xy11_84_20.176-28.128,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,15.138663931274662,NA,21.294517542432676,1.0908836445477064,NA,1.1950403605097777,-0.0012585311412393887,NA,0.3010605267366167,2,30,80,90
Plasmid,xy11_85_20.153-28.130,FALSE,FALSE,TRUE,TRUE,FALSE,60,140,47.16756886212937,0,NA,70,17.951898916590007,NA,16.44606347056275,0.8382490828947224,NA,0.6561978034301824,0.0010978313598142542,NA,0.3875339460835708,2,0,70,80
Plasmid,xy11_86_20.156-28.132,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,17.477334736906244,NA,26.502143900106763,0.8656617035057375,NA,0.8759671999760438,0.0012302756188039769,NA,0.3148537454682321,1,60,80,90
Plasmid,xy11_87_20.153-28.135,TRUE,FALSE,TRUE,TRUE,FALSE,60,140,47.16756886212937,0,NA,80,17.951898916590007,NA,27.505656078305567,0.8382490828947224,NA,0.9547086879157085,0.0010978313598142542,NA,0.35985012867798705,4,20,80,90
Plasmid,xy11_87_24.216-27.141,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,40,NA,70,8.696387841867532,NA,21.318632338283756,0.9122200628319508,NA,0.8185337312837108,-0.005064902191798369,NA,0.22140081950830703,2,0,30,80
Plasmid,xy11_88_20.192-28.148,FALSE,FALSE,TRUE,TRUE,FALSE,60,140,47.16756886212937,0,NA,70,11.13567131076914,NA,33.05409506257096,0.8156556871785489,NA,1.0891710584070045,0.0037230656280037907,NA,0.4357744084779223,2,30,70,80
Plasmid,xy11_89_20.012-27.005,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,70,22.2337077353604,NA,38.092561540750886,0.9997793082969357,NA,1.0646364819011513,0.0017395131993195154,NA,0.2988766990333309,4,10,70,80
Plasmid,xy11_89_23.020-27.009,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,30,NA,70,22.35705021519656,NA,18.02568737800155,1.005565376133355,NA,0.9261680838728527,3.7417226338447296e-4,NA,0.33013971675776044,1,30,40,80
Plasmid,xy11_89_25.020-27.013,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,50,NA,70,18.535581434131437,NA,28.15147858016214,1.03692031757592,NA,1.0005962531080366,0.002940286723062896,NA,0.239103694940236,1,10,20,80
Plasmid,xy11_9_20.120-44.029,TRUE,FALSE,FALSE,TRUE,TRUE,60,140,47.16756886212937,0,NA,150,13.28774820793906,NA,24.76140673864544,0.8220376000836149,NA,0.7588592855407438,0.0021976054060202544,NA,8.940367026046874e-4,1,NA,150,NA
Plasmid,xy11_90_20.087-27.036,FALSE,FALSE,FALSE,FALSE,FALSE,60,140,47.16756886212937,0,NA,70,20.24435205225094,NA,29.85920282012239,0.9516994829463791,NA,0.9758143446868961,-0.0023416670273989568,NA,0.12151739231174666,0,NA,70,80
Plasmid,xy11_91_20.064-27.037,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,70,31.052960071992377,NA,25.004324992260983,1.010320894322744,NA,0.9543414374960394,-0.0029450531668020765,NA,0.12102950368523283,3,10,70,80
Plasmid,xy11_92_20.095-27.049,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,70,31.33618371489109,NA,24.733069808232436,1.2099102550531142,NA,1.10825309041675,-0.004419254907989984,NA,0.11936527870316056,2,30,70,80
Plasmid,xy11_93_20.088-27.055,FALSE,FALSE,FALSE,FALSE,FALSE,60,140,47.16756886212937,0,NA,70,17.40366197069047,NA,22.44680747583147,0.8940449145115922,NA,0.898950330831458,3.435835842522598e-4,NA,0.1476568448049641,0,NA,70,80
Plasmid,xy11_94_20.106-27.058,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,70,23.86421325162399,NA,13.717809600493233,1.2122449184352964,NA,1.1007844160657243,-0.00104408678107019,NA,0.12377303914977139,2,10,70,80
Plasmid,xy11_94_21.123-27.070,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,10,NA,70,12.167096808559323,NA,20.43962355616872,1.2622284500429135,NA,1.2542276373286938,-0.0011564090439712988,NA,0.12269998575934232,1,50,60,80
Plasmid,xy11_95_20.108-27.060,FALSE,FALSE,FALSE,TRUE,FALSE,60,140,47.16756886212937,0,NA,70,23.1981728442392,NA,25.282165263551175,1.0464650810340548,NA,1.0230547405067805,-0.0012483184621982421,NA,0.1108106421942104,1,20,70,80
